Record ID,Date Closed,Due Date,Implementation Phase,Implementation Type,CA ID,Record ID,Target Implementation Date,Status,Lifecycle State,QE ID,URL-Record ID,URL-Record ID
CA-017656,,,Phase 1,Pre-Implementation,CA-017656,QE-007208,31-Dec-24,Active,In Assessment & Plan Building,QE-007208,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z8010,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7010
CA-017655,18-Jun-24,,Phase 1,Pre-Implementation,CA-017655,QE-007208,31-Dec-24,Active,In Assessment & Plan Building,QE-007208,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z8009,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7010
CA-017654,18-Jun-24,,Phase 1,Pre-Implementation,CA-017654,QE-007208,31-Dec-24,Active,In Assessment & Plan Building,QE-007208,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6016,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7010
CA-017653,,,Phase 1,Pre-Implementation,CA-017653,QE-007208,31-Dec-24,Active,In Assessment & Plan Building,QE-007208,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6015,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7010
CA-017652,,,Phase 1,Pre-Implementation,CA-017652,QE-007208,31-Dec-24,Active,In Assessment & Plan Building,QE-007208,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6014,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7010
CA-017651,,,Phase 1,Pre-Implementation,CA-017651,QE-007208,31-Dec-24,Active,In Assessment & Plan Building,QE-007208,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7016,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7010
CA-017650,,,Phase 1,Pre-Implementation,CA-017650,QE-007208,31-Dec-24,Active,In Assessment & Plan Building,QE-007208,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z8008,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7010
CA-017649,,,Phase 1,Pre-Implementation,CA-017649,QE-007208,31-Dec-24,Active,In Assessment & Plan Building,QE-007208,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z8007,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7010
CA-017648,,,Phase 1,Pre-Implementation,CA-017648,QE-007208,31-Dec-24,Active,In Assessment & Plan Building,QE-007208,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z8006,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7010
CA-017647,,31-Jul-24,Phase 3,Pre-Implementation,CA-017647,QE-007202,31-Dec-24,Active,In Pre-Implementation Execution,QE-007202,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7015,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7006
CA-017646,,31-Jul-24,Phase 1,Pre-Implementation,CA-017646,QE-007202,31-Dec-24,Active,In Pre-Implementation Execution,QE-007202,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7014,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7006
CA-017645,,,N/A,Post-Implementation,CA-017645,QE-007160,24-Jun-24,Active,In Change Plan Approval,QE-007160,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7013,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS005
CA-017644,,,N/A,Post-Implementation,CA-017644,QE-007160,24-Jun-24,Active,In Change Plan Approval,QE-007160,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7012,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS005
CA-017643,,,N/A,Post-Implementation,CA-017643,QE-007160,24-Jun-24,Active,In Change Plan Approval,QE-007160,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6013,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS005
CA-017642,,23-Dec-24,Phase 1,Pre-Implementation,CA-017642,QE-007180,31-Dec-24,Active,In Pre-Implementation Execution,QE-007180,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6012,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X0010
CA-017641,,,N/A,Pre-Implementation,CA-017641,QE-007196,31-Jul-24,Active,In Assessment & Plan Building,QE-007196,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z8005,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7003
